아티스트,타이틀,가사
어노인팅,온 땅의 주인 (Who Am I),온 땅의 주인 되신 주님이 내 이름 아시며 상한 맘 돌보네 어둠을 밝히시는 새벽 별 방황하는 내 맘 주의 길 비추시네 나로 인함이 아닌 주가 행하신 일로 나의 행함이 아닌 오직 주로 인하여 나는 오늘 피었다 지는 이름 없는 꽃과 같네 바다에 이는 파도 안개와 같지만 주는 나를 붙드시고 부르짖음 들으시며 날 귀하다 하시네 주님은 나의 죄를 보시고 사랑의 눈으로 날 일으키시네 바다를 잠잠하게 하시듯 내 영혼의 폭풍 고요케 하시네 나로 인함이 아닌 주가 행하신 일로 나의 행함이 아닌 오직 주로 인하여 나는 오늘 피었다 지는 이름 없는 꽃과 같네 바다에 이는 파도 안개와 같지만 주는 나를 붙드시고 부르짖음 들으시며 날 귀하다 하시네 나는 오늘 피었다 지는 이름 없는 꽃과 같네 바다에 이는 파도 안개와 같지만 주는 나를 붙드시고 부르짖음 들으시며 날 귀하다 하시네 나는 오늘 피었다 지는 이름 없는 꽃과 같네 바다에 이는 파도 안개와 같지만 주는 나를 붙드시고 부르짖음 들으시며 날 귀하다 하시네 나는 오늘 피었다 지는 이름 없는 꽃과 같네 바다에 이는 파도 안개와 같지만 주는 나를 붙드시고 부르짖음 들으시며 날 귀하다 하시네 나는 오늘 피었다 지는 이름 없는 꽃과 같네 바다에 이는 파도 안개와 같지만 주는 나를 붙드시고 부르짖음 들으시며 날 귀하다 하시네 나 오직 주의 것 나 오직 주의 것 나 오직 주의 것 나 오직 주의 것 나 오직 주의 것 나 오직 주의 것
어노인팅,주께서 내 맘에 두신 기쁨은,주께서 내 맘에 두신 기쁨은 이 세상 즐거움 비교할 수 없네 잠깐 있다 사라질 세상의 것과 다른 그 기쁨은 날마다 커져만 가네 주께서 내 맘에 두신 기쁨은 이 세상 즐거움 비교할 수 없네 잠깐 있다 사라질 세상의 것과 다른 그 기쁨은 날마다 커져만 가네 주가 주신 평안이 내 맘에 있어 주를 향한 찬양이 넘쳐흐르네 나를 안전하게 돌보시는 나의 주 하나님 주를 찬양하리라 주께서 내 인생 두신 소망은 이 세상 행복과 비교할 수 없네 어둠속에 사라질 세상의 것과 다른 그 소망은 날마다 커져만 가네 주가 주신 평안이 내 맘에 있어 주를 향한 찬양이 넘쳐흐르네 나를 안전하게 돌보시는 나의 주 하나님 주를 찬양하리라 주가 주신 평안이 내 맘에 있어 주를 향한 찬양이 넘쳐흐르네 나를 안전하게 돌보시는 나의 주 하나님 주를 찬양하리라 주가 주신 평안이 내 맘에 있어 주를 향한 찬양이 넘쳐흐르네 나를 안전하게 돌보시는 나의 주 하나님 주를 찬양하리라 주가 주신 평안이 내 맘에 있어 주를 향한 찬양이 넘쳐흐르네 나를 안전하게 돌보시는 나의 주 하나님 주를 찬양하리라 주가 주신 평안이 내 맘에 있어 주를 향한 찬양이 넘쳐흐르네 나를 안전하게 돌보시는 나의 주 하나님 주를 찬양하리라
어노인팅,모든 상황속에서,모든 상황 속에서 주를 찬양 할지라 주는 너의 큰 상급 큰 도움이시라 주의 얼굴 구할때 주의 영을 부으사 크신 사랑 안에서 주를 보게하소서 내 영혼이 확정되고 확정 되었사오니 믿음의 눈들어 주를 바라봅니다 내 영혼이 확정되고 확정 되었사오니 믿음의 눈들어 주를 바라봅니다 모든 상황 속에서 주를 찬양 할지라 주는 너의 큰 상급 큰 도움이시라 주의 얼굴 구할때 주의 영을 부으사 크신 사랑 안에서 주를 보게하소서 내 영혼이 확정되고 확정 되었사오니 믿음의 눈들어 주를 바라봅니다 내 영혼이 확정되고 확정되었사오니 믿음의 눈들어 주를 바라봅니다 내 영혼이 확정되고 확정 되었사오니 믿음의 눈들어 주를 바라봅니다 내 영혼이 확정되고 확정 되었사오니 믿음의 눈들어 주를 바라봅니다 주를 찬양 할때 주의 나라 이미 임했네 그의 영원한 나라 보게 하소서 내 영혼이 확정되고 확정 되었사오니 믿음의 눈들어 주를 바라봅니다 내 영혼이 확정되고 확정 되었사오니 믿음의 눈들어 주를 바라봅니다 내 영혼이 확정되고 확정 되었사오니 믿음의 눈들어 주를 바라봅니다 내 영혼이 확정되고 확정 되었사오니 믿음의 눈들어 주를 바라봅니다
어노인팅,푯대를 향하여,내게 유익하던 것을 다 해로 여기네 구주를 위하여 모두 다 버리네 모든 것을 잃어 버려도 나 아깝지 않음은 예수를 아는 지식이 가장 고상함이라 육체를 신뢰하지 않고 겸손한 마음으로 부활의 능력과 고난에 참여하며 그의 죽으심을 본 받아 그리스도를 얻고 예수의 안에서 발견되려 함이라 푯대를 향하여 그리스도 예수 안에서 부름의 상을 위하여 달려가노라 이전에 있는 것은 모두 잊어버리고 앞에 계신 그리스도께로 달려가노라 내게 유익하던 것을 다 해로 여기네 구주를 위하여 모두 다 버리네 모든 것을 잃어 버려도 나 아깝지 않음은 예수를 아는 지식이 가장 고상함이라 육체를 신뢰하지 않고 겸손한 마음으로 부활의 능력과 고난에 참여하며 그의 죽으심을 본 받아 그리스도를 얻고 예수의 안에서 발견되려 함이라 푯대를 향하여 그리스도 예수 안에서 부름의 상을 위하여 달려가노라 이전에 있는 것은 모두 잊어버리고 앞에 계신 그리스도께로 달려가노라 푯대를 향하여 그리스도 예수 안에서 부름의 상을 위하여 달려가노라 이전에 있는 것은 모두 잊어버리고 앞에 계신 그리스도께로 달려가노라 율법에서 난 것이 아니요 오직 그리스도를 믿는 믿음으로 난 것이라 푯대를 향하여 그리스도 예수 안에서 부름의 상을 위하여 달려가노라 이전에 있는 것은 모두 잊어버리고 앞에 계신 그리스도께로 달려가노라 푯대를 향하여 그리스도 예수 안에서 부름의 상을 위하여 달려가노라 이전에 있는 것은 모두 잊어버리고 앞에 계신 그리스도께로 달려가노라 이전에 있는 것은 모두 잊어버리고 앞에 계신 그리스도께로 달려가노라
어노인팅,성령이 오셨네,허무한 시절 지날 때  깊은 한 숨 내쉴 때  그런 풍경 보시며  탄식하는 분 있네  고아같이 너희를  버려두지 않으리  내가 너희와 영원히  함께 하리라  성령이 오셨네  성령이 오셨네  내 주의 보내신  성령이 오셨네  우리 인생 가운데  친히 찾아 오셔서  그나라 꿈꾸게 하시네 억눌린 자 갇힌 자  자유함이 없는 자  피난처가 되시는  성령님 계시네  주의 영이 계신 곳에  참 자유가 있다네  진리의 영이신  성령이 오셨네  성령이 오셨네  성령이 오셨네  내 주의 보내신  성령이 오셨네  우리 인생 가운데  친히 찾아 오셔서  그나라 꿈꾸게 하시네  성령이 오셨네  성령이 오셨네  내 주의 보내신  성령이 오셨네  우리 인생 가운데  친히 찾아 오셔서  그나라 꿈꾸게 하시네  성령이 오셨네  성령이 오셨네  내 주의 보내신  성령이 오셨네  우리 인생 가운데  친히 찾아 오셔서  그나라 꿈꾸게 하시네  성령이 오셨네 성령이 오셨네 내 주의 보내신 성령이 오셨네 우리 인생 가운데 친히 찾아 오셔서 그나라 꿈꾸게 하시네 성령이 오셨네 성령이 오셨네 내 주의 보내신 성령이 오셨네 우리 인생 가운데 친히 찾아 오셔서 그나라 꿈꾸게 하시네 성령이 오셨네 성령이 오셨네 내 주의 보내신 성령이 오셨네 우리 인생 가운데 친히 찾아 오셔서 그나라 꿈꾸게 하시네
어노인팅,나는 예배자입니다,나는 하나님을 예배하는 예배자입니다 내가 서있는 곳 어디서나 하나님을 예배합니다 내 영혼 거룩한 은혜를 향하여 내 마음 완전한 하나님 향하여 이 곳에서 바로 이 시간 하나님을 예배합니다 나는 하나님을 예배하는 예배자입니다 내가 서있는 곳 어디서나 하나님을 예배합니다 내 영혼 거룩한 은혜를 향하여 내 마음 완전한 하나님 향하여 이 곳에서 바로 이 시간 하나님을 예배합니다 나는 하나님을 예배하는 예배자입니다 내가 서있는 곳 어디서나 하나님을 예배합니다 내 영혼 거룩한 은혜를 향하여 내 마음 완전한 하나님 향하여 이 곳에서 바로 이 시간 하나님을 예배합니다 내 영혼 거룩한 은혜를 향하여 내 마음 완전한 하나님 향하여 이 곳에서 바로 이 시간 하나님을 예배합니다 내 영혼 거룩한 은혜를 향하여 내 마음 완전한 하나님 향하여 이 곳에서 바로 이 시간 하나님을 예배합니다 내 영혼 거룩한 은혜를 향하여 내 마음 완전한 하나님 향하여 이 곳에서 바로 이 시간 하나님을 예배합니다
어노인팅,어떤 말로도,어떤 말로도 모두 다 말할 수 없네 내게 차고 넘치게 채워 주시는 은혜 무슨 노래로 이것을 모두 말할까 멈추지 않으시는 나를 향하신 사랑 어떤 말로도 모두 다 말할 수 없네 내게 차고 넘치게 채워 주시는 은혜 무슨 노래로 이것을 모두 말할까 멈추지 않으시는 나를 향하신 사랑 멈출 수 없네 멈추지 않으리 주를 향해 부르는 이 노래 다함이 없네 끝나지 않으리 우릴 향해 넘치는 그 사랑 어떤 말로도 모두 다 말할 수 없네 내게 차고 넘치게 채워 주시는 은혜 무슨 노래로 이것을 모두 말할까 멈추지 않으시는 나를 향하신 사랑 멈출 수 없네 멈추지 않으리 주를 향해 부르는 이 노래 다함이 없네 끝나지 않으리 우릴 향해 넘치는 그 사랑 어떤 말로도 모두 다 말할 수 없네 내게 차고 넘치게 채워 주시는 은혜 무슨 노래로 이것을 모두 말할까 멈추지 않으시는 나를 향하신 사랑 어떤 말로도 모두 다 말할 수 없네 내게 차고 넘치게 채워 주시는 은혜 무슨 노래로 이것을 모두 말할까 멈추지 않으시는 나를 향하신 사랑 멈추지 않으시는 나를 향하신 사랑
어노인팅,주와 같이 길 가는 것,주와 같이 길가는 것 즐거운 일 아닌가 우리 주님 걸어가신 발자취를 밟겠네 주와 같이 길가는 것 즐거운 일 아닌가 우리 주님 걸어가신 발자취를 밟겠네 한 걸음 한 걸음 주 예수와 함께 날마다 날마다 우리는 걷겠네 어린아이 같은 우리 미련하고 약하나 주의 손에 이끌리어 생명길로 가겠네 어린아이 같은 우리 미련하고 약하나 주의 손에 이끌리어 생명길로 가겠네 한 걸음 한 걸음 주 예수와 함께 날마다 날마다 우리는 걷겠네 한 걸음 한 걸음 주 예수와 함께 날마다 날마다 우리는 걷겠네 주와 같이 길가는 것 즐거운 일 아닌가 우리 주님 걸어가신 발자취를 밟겠네 주와 같이 길가는 것 즐거운 일 아닌가 우리 주님 걸어가신 발자취를 밟겠네 한 걸음 한 걸음 주 예수와 함께 날마다 날마다 우리는 걷겠네 한 걸음 한 걸음 주 예수와 함께 날마다 날마다 우리는 걷겠네 한 걸음 한 걸음 주 예수와 함께 날마다 날마다 우리는 걷겠네
어노인팅,주 사랑이 나를 숨 쉬게 해,주 사랑이 나를 숨쉬게 해  세상 그 어떤 어려움 속에도 주 은혜로 나를 돌보시며 세상 끝날까지 지켜주시네 주님만이 내 아픔 아시며 주님만이 내 맘 어루만지네 어느 누구도 나를 향하신 주님의 사랑을 끊을 수 없네 주님만이 내 능력이시며 주님만이 나의 구원이시네 어느 누구도 나를 향하신 주님의 사랑을 끊을 수 없네 주 사랑이 나를 숨쉬게 해  세상 그 어떤 어려움 속에도 주 은혜로 나를 돌보시며 세상 끝날까지 지켜주시네 주 사랑이 나를 이끄시네 내가 갈 수 없는 그 곳으로 주의 사랑 나를 붙드시며 세상 끝날까지 인도하시네 주 사랑이 나를 숨쉬게 해  세상 그 어떤 어려움 속에도 주 은혜로 나를 돌보시며 세상 끝날까지 지켜주시네 주 사랑이 나를 이끄시네 내가 갈 수 없는 그 곳으로 주의 사랑 나를 붙드시며 세상 끝날까지 인도하시네 주님만이 내 아픔 아시며 주님만이 내 맘 어루만지네 어느 누구도 나를 향하신 주님의 사랑을 끊을 수 없네 주님만이 내 능력이시며 주님만이 나의 구원이시네 어느 누구도 나를 향하신 주님의 사랑을 끊을 수 없네 주님만이 내 아픔 아시며 주님만이 내 맘 어루만지네 어느 누구도 나를 향하신 주님의 사랑을 끊을 수 없네 주님만이 내 능력이시며 주님만이 나의 구원이시네 어느 누구도 나를 향하신 주님의 사랑을 끊을 수 없네 주님만이 내 아픔 아시며 주님만이 내 맘 어루만지네 어느 누구도 나를 향하신 주님의 사랑을 끊을 수 없네 주님만이 내 능력이시며 주님만이 나의 구원이시네 어느 누구도 나를 향하신 주님의 사랑을 끊을 수 없네 주님만이 내 아픔 아시며 주님만이 내 맘 어루만지네 어느 누구도 나를 향하신 주님의 사랑을 끊을 수 없네 주님만이 내 능력이시며 주님만이 나의 구원이시네 어느 누구도 나를 향하신 주님의 사랑을 끊을 수 없네 주님만이 내 아픔 아시며 주님만이 내 맘 어루만지네 어느 누구도 나를 향하신 주님의 사랑을 끊을 수 없네 주님만이 내 아픔 아시며 주님만이 내 맘 어루만지네 어느 누구도 나를 향하신 주님의 사랑을 끊을 수 없네 주님만이 내 능력이시며  주님만이 나의 구원이시네  어느 누구도 나를 향하신 주님의 사랑을 끊을 수 없네 어느 누구도 나를 향하신 주님의 사랑을 끊을 수 없네 어느 무엇도 나를 향하신 주님의 사랑을 끊을 수 없네
어노인팅,예수 우리들의 밝은 빛,예수 우리들의 밝은 빛 은혜와 긍휼을 베푸시는 주 의의 길을 따라가는 주의 자녀들에게 항상 밝은 빛을 비추시네 그는 구원의 주 하나님 공의로 세상을 다스리시네 주를 경외하는 자들에게 부어주시는 놀라운 주님의 영광 하늘에서 찬란하게 빛나는 주의 영광 이 땅에 오셨네 어둠을 밝히고 새 생명 주시네 영원히 빛나는 나의 예수님 높이 영광과 찬양 받으실 그 이름 경배합니다 슬픔을 거두고 내게 자유주시네 기쁨의 노래를 영원한 나의 빛 예수께 예수 우리들의 밝은 빛 은혜와 긍휼을 베푸시는 주 의의 길을 따라가는 주의 자녀들에게 항상 밝은 빛을 비추시네 그는 구원의 주 하나님 공의로 세상을 다스리시네 주를 경외하는 자들에게 부어주시는 놀라운 주님의 영광 하늘에서 찬란하게 빛나는 주의 영광 이 땅에 오셨네 어둠을 밝히고 새 생명 주시네 영원히 빛나는 나의 예수님 높이 영광과 찬양 받으실 그 이름 경배합니다 슬픔을 거두고 내게 자유주시네 기쁨의 노래를 영원한 나의 빛 예수께 하늘에서 찬란하게 빛나는 주의 영광 이 땅에 오셨네 어둠을 밝히고 새 생명 주시네 영원히 빛나는 나의 예수님 높이 영광과 찬양 받으실 그 이름 경배합니다 슬픔을 거두고 내게 자유주시네 기쁨의 노래를 영원한 나의 빛 예수께 하늘에서 찬란하게 빛나는 주의 영광 이 땅에 오셨네 어둠을 밝히고 새 생명 주시네 영원히 빛나는 나의 예수님 높이 영광과 찬양 받으실 그 이름 경배합니다 슬픔을 거두고 내게 자유주시네 기쁨의 노래를 영원한 나의 빛 예수께 하늘에서 찬란하게 빛나는 주의 영광 이 땅에 오셨네 어둠을 밝히고 새 생명 주시네 영원히 빛나는 나의 예수님 높이 영광과 찬양 받으실 그 이름 경배합니다 슬픔을 거두고 내게 자유주시네 기쁨의 노래를 영원한 나의 빛 예수께 하늘에서 찬란하게 빛나는 주의 영광 이 땅에 오셨네 어둠을 밝히고 새 생명 주시네 영원히 빛나는 나의 예수님 높이 영광과 찬양 받으실 그 이름 경배합니다 슬픔을 거두고 내게 자유주시네 기쁨의 노래를 영원한 나의 빛 예수께
